stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake,seed,rank_key
joss,wn-other,True,n,josser,1,twl_scrabble_dictionary,20260814,00df6ab1ea7b2e37
kinked,wn-other,True,v,kinkeder kinkedest,2,twl_scrabble_dictionary,20260814,0e4540aaeec9ad07
lid,wn-other,True,n,liddest,1,twl_scrabble_dictionary,20260814,04440fa6a755c788
lute,wn-other,True,n,luter,1,twl_scrabble_dictionary,20260814,0070216f7abb7964
lyrebird,wn-other,True,n,lyrebirder,1,twl_scrabble_dictionary,20260814,047a80dfbbade445
mattock,wn-other,True,n,mattocker mattockest,2,twl_scrabble_dictionary,20260814,094c8988d48934c0
microtome,wn-other,True,n,microtomer,1,twl_scrabble_dictionary,20260814,04411cfe7d3e3a72
misconceive,wn-other,True,v,misconceivest,1,twl_scrabble_dictionary,20260814,0b8e2bf90a06c3cc
narwhal,wn-other,True,n,narwhaler,1,twl_scrabble_dictionary,20260814,0cd87061a97091da
neuroleptic,wn-other,True,n,neurolepticer neurolepticest,2,twl_scrabble_dictionary,20260814,04b353c041f63454
octonary,wn-other,True,n,octonarier octonariest,2,twl_scrabble_dictionary,20260814,1b534aa9b9520cb5
overture,wn-other,True,n,overturer,1,twl_scrabble_dictionary,20260814,05e06dbb4ef709de
polytechnic,wn-other,True,n,polytechnicer polytechnicest,2,twl_scrabble_dictionary,20260814,1d460713efe55665
presuppose,wn-other,True,v,presupposest,1,twl_scrabble_dictionary,20260814,0e5118d99a11df90
puke,wn-other,True,nv,puker pukest,2,twl_scrabble_dictionary,20260814,147746a2e355b541
puss,wn-other,True,n,pusser,1,twl_scrabble_dictionary,20260814,0d591de01bd0285b
reassign,wn-other,True,v,reassigner,1,twl_scrabble_dictionary,20260814,08e31e2221edbe81
rename,wn-other,True,v,renamest,1,twl_scrabble_dictionary,20260814,0d84ad9c178fcaca
scintillate,wn-other,True,v,scintillater scintillatest,2,twl_scrabble_dictionary,20260814,1a9908953df783a1
secern,wn-other,True,v,secerner secernest,2,twl_scrabble_dictionary,20260814,159eb89712daf2a9
selachian,wn-other,True,n,selachianer selachianest,2,twl_scrabble_dictionary,20260814,1d10812eda5e9184
semaphore,wn-other,True,nv,semaphorer semaphorest,2,twl_scrabble_dictionary,20260814,1149a7381a9d8740
socialise,wn-other,True,v,socialiser,1,twl_scrabble_dictionary,20260814,1505ec597df458c8
sous,wn-other,True,n,sousest,1,twl_scrabble_dictionary,20260814,0d460a926f72c665
spoor,wn-other,True,n,spoorer,1,twl_scrabble_dictionary,20260814,0bf64bf1e84f5fcf
surfbird,wn-other,True,n,surfbirder,1,twl_scrabble_dictionary,20260814,071d96510d563a25
thermogram,wn-other,True,n,thermogramer,1,twl_scrabble_dictionary,20260814,01e3a795c0f1adee
underestimate,wn-other,True,nv,underestimater,1,twl_scrabble_dictionary,20260814,075a87f597d99626
undervalue,wn-other,True,v,undervalueer undervalueest,2,twl_scrabble_dictionary,20260814,04ac9134d321133e
unreeled,wn-other,True,v,unreeleder unreeledest,2,twl_scrabble_dictionary,20260814,1eea067097e1601d
vivisect,wn-other,True,v,vivisecter,1,twl_scrabble_dictionary,20260814,15644437debeae6d
weatherboard,wn-other,True,n,weatherboarder,1,twl_scrabble_dictionary,20260814,08939bba70de292f
zill,wn-other,True,n,ziller zillest,2,twl_scrabble_dictionary,20260814,04a4afc99a06367f
